sample_id,site,date,fish,length_mm,pic_1,pic_2
373,burbank,7/10/2019,bigmouth buffalo,50,,
374,burbank,7/10/2019,bigmouth buffalo,38,,
292,little bridge,7/10/2019,common shiner,71,,
376,burbank,7/10/2019,bigmouth buffalo,37,,
446,gunderson,7/10/2019,bluegill,66,,
370,little bridge,7/10/2019,creek chub,75,,
379,gunderson,7/17/2019,red shiner,51,,
380,burbank,7/10/2019,bigmouth buffalo,41,,
381,burbank,7/10/2019,common carp,52,,
382,burbank,7/10/2019,bigmouth buffalo,33,,
275,little bridge,7/10/2019,bigmouth buffalo,76,,
384,burbank,7/10/2019,bigmouth buffalo,38,,
385,burbank,7/10/2019,red shiner,40,,
458,spirit mound,7/10/2019,bigmouth buffalo,99,,
427,little bridge,7/10/2019,black bullhead catfish,76,,
388,burbank,7/17/2019,pumpkinseed sunfish,71,,
389,burbank,7/10/2019,bigmouth buffalo,40,,
342,little bridge,7/10/2019,common carp,77,,
391,burbank,7/10/2019,common carp,47,,
279,spirit mound,7/10/2019,creek chub,102,,
393,burbank,7/10/2019,bigmouth buffalo,38,,
449,little bridge,7/10/2019,creek chub,83,,
395,burbank,7/10/2019,bigmouth buffalo,51,,
295,spirit mound,7/10/2019,common shiner,102,,
348,spirit mound,7/10/2019,common shiner,102,,
425,little bridge,7/25/2019,johnny darter,58,,
350,little bridge,7/25/2019,smallmouth buffalo,60,,
347,little bridge,7/25/2019,common carp,65,,
408,little bridge,7/25/2019,smallmouth buffalo,66,,
516,little bridge,7/19/2019,johnny darter,44,,
403,burbank,7/10/2019,red shiner,41,,
463,gunderson,7/10/2019,bluegill,66,,
407,little bridge,7/25/2019,common shiner,69,,
406,burbank,7/10/2019,bigmouth buffalo,36,,
351,little bridge,7/25/2019,creek chub,73,,
352,little bridge,7/25/2019,common shiner,76,047.jpeg,048.jpeg
409,burbank,7/10/2019,bigmouth buffalo,55,,
410,burbank,7/25/2019,bigmouth buffalo,58,,
411,burbank,7/25/2019,common carp,68,,
412,burbank,7/25/2019,grass pickerel,58,,
413,burbank,7/25/2019,common carp,85,,
414,burbank,7/25/2019,common carp,98,,
415,burbank,7/25/2019,black bullhead catfish,59,,
416,burbank,7/25/2019,bigmouth buffalo,68,,
417,burbank,7/25/2019,common carp,85,,
418,burbank,7/25/2019,common carp,60,,
419,burbank,7/25/2019,common carp,60,,
420,burbank,7/25/2019,black bullhead catfish,57,,
421,burbank,7/25/2019,common carp,79,,
422,burbank,7/25/2019,bigmouth buffalo,64,,
423,burbank,7/25/2019,bigmouth buffalo,42,,
424,burbank,7/25/2019,bigmouth buffalo,51,,
473,little bridge,7/25/2019,creek chub,76,,
426,burbank,7/17/2019,black bullhead catfish,53,,
445,little bridge,7/10/2019,creek chub,84,,
428,gunderson,7/17/2019,bluegill,148,,
429,burbank,7/17/2019,black bullhead catfish,55,,
430,little bridge,7/17/2019,creek chub,92,,
431,burbank,7/10/2019,spotfin shiner,54,,
432,gunderson,7/17/2019,spotfin shiner,48,,
377,gunderson,7/10/2019,bluegill,69,053.jpeg,054.jpeg
447,gunderson,7/10/2019,bluegill,71,,
369,little bridge,7/10/2019,common carp,85,,
274,little bridge,7/10/2019,creek chub,91,,
437,gunderson,7/10/2019,bluegill,74,,
456,little bridge,7/10/2019,black bullhead catfish,93,,
303,little bridge,7/10/2019,black bullhead catfish,94,,
365,little bridge,7/10/2019,creek chub,98,,
439,little bridge,7/10/2019,black bullhead catfish,108,,
568,little bridge,7/25/2019,common shiner,77,,
565,gunderson,7/10/2019,bluegill,75,,
453,little bridge,7/25/2019,common shiner,78,,
452,little bridge,7/10/2019,black bullhead catfish,115,,
433,gunderson,7/10/2019,bluegill,77,,
451,gunderson,7/10/2019,bluegill,77,,
448,burbank,7/17/2019,common carp,61,,
360,little bridge,7/10/2019,creek chub,120,,
450,little bridge,7/25/2019,common shiner,79,,
459,gunderson,7/10/2019,bluegill,79,,
441,little bridge,7/10/2019,black bullhead catfish,123,,
344,little bridge,7/25/2019,creek chub,80,,
454,little bridge,7/10/2019,black bullhead catfish,124,,
455,little bridge,7/10/2019,black bullhead catfish,124,,
375,little bridge,7/10/2019,black bullhead catfish,132,044.jpeg,045.jpeg
400,little bridge,7/25/2019,common carp,82,,
499,spirit mound,7/10/2019,creek chub,142,,
434,gunderson,7/10/2019,bluegill,81,,
469,gunderson,7/10/2019,bluegill,104,,
444,little bridge,7/25/2019,common shiner,84,,
399,little bridge,7/25/2019,common carp,89,,
404,gunderson,7/10/2019,gar,110,,
443,gunderson,7/10/2019,bluegill,138,,
465,burbank,7/25/2019,black bullhead catfish,57,,
401,little bridge,7/25/2019,common shiner,89,,
464,gunderson,7/10/2019,bluegill,143,,
468,burbank,7/25/2019,black bullhead catfish,57,,
467,gunderson,7/10/2019,bluegill,148,,
470,burbank,7/25/2019,black bullhead catfish,60,,
471,burbank,7/25/2019,black bullhead catfish,59,,
472,burbank,7/25/2019,black bullhead catfish,62,,
346,little bridge,7/25/2019,common shiner,94,,
474,burbank,7/25/2019,black bullhead catfish,61,,
475,burbank,7/25/2019,black bullhead catfish,59,,
476,burbank,7/25/2019,bigmouth buffalo,65,,
462,little bridge,7/25/2019,common shiner,95,,
478,burbank,7/25/2019,grass pickerel,64,,
479,burbank,7/25/2019,grass pickerel,67,,
457,little bridge,7/25/2019,creek chub,96,,
481,burbank,7/25/2019,bigmouth buffalo,54,,
482,burbank,7/25/2019,bigmouth buffalo,not listed (double check this),,
483,burbank,7/25/2019,grass pickerel,58,,
349,little bridge,7/25/2019,creek chub,108,,
485,burbank,7/25/2019,grass pickerel,82,,
486,burbank,7/25/2019,bigmouth buffalo,54,,
500,little bridge,7/25/2019,black bullhead catfish,112,,
442,little bridge,7/25/2019,black bullhead catfish,115,,
489,burbank,7/25/2019,black bullhead catfish,50,,
517,little bridge,7/19/2019,bigmouth buffalo,44,,
490,little bridge,7/19/2019,bigmouth buffalo,46,,
527,little bridge,7/19/2019,bigmouth buffalo,47,,
493,spirit mound,7/19/2019,bigmouth buffalo,42,,
528,little bridge,7/19/2019,fathead minnow,47,,
504,little bridge,7/19/2019,johnny darter,49,,
353,little bridge,7/25/2019,creek chub,117,,
505,little bridge,7/19/2019,johnny darter,49,,
498,spirit mound,7/19/2019,johnny darter,53,,
273,spirit mound,7/10/2019,black bullhead catfish,145,,
488,little bridge,7/25/2019,creek chub,117,,
466,little bridge,7/25/2019,black bullhead catfish,119,,
530,little bridge,7/19/2019,bigmouth buffalo,49,,
566,little bridge,7/19/2019,fathead minnow,49,,
495,little bridge,7/19/2019,johnny darter,50,,
514,little bridge,7/19/2019,johnny darter,50,,
506,spirit mound,7/19/2019,johnny darter,53,,
507,little bridge,7/19/2019,bigmouth buffalo,52,,
508,spirit mound,7/26/2019,johnny darter,54,,
509,spirit mound,7/26/2019,johnny darter,51,,
510,little bridge,7/26/2019,creek chub,110,,
511,spirit mound,7/19/2019,johnny darter,59,,
491,little bridge,7/19/2019,johnny darter,55,,
513,spirit mound,7/19/2019,creek chub,107,,
492,little bridge,7/19/2019,johnny darter,55,,
515,spirit mound,7/19/2019,johnny darter,58,,
545,little bridge,7/19/2019,common carp,55,,
402,little bridge,7/19/2019,fathead minnow,56,049.jpeg,050.jpeg
518,spirit mound,7/26/2019,common carp,86,,
519,little bridge,7/26/2019,johnny darter,50,,
520,spirit mound,7/26/2019,johnny darter,59,,
521,spirit mound,7/19/2019,johnny darter,59,,
494,little bridge,7/19/2019,johnny darter,56,,
523,spirit mound,7/19/2019,green sunfish,56,,
524,spirit mound,7/19/2019,smallmouth buffalo,55,,
503,little bridge,7/19/2019,johnny darter,56,,
544,little bridge,7/19/2019,johnny darter,56,,
525,little bridge,7/19/2019,smallmouth buffalo,57,,
593,little bridge,7/19/2019,green sunfish,57,,
497,little bridge,7/19/2019,smallmouth buffalo,58,,
512,little bridge,7/19/2019,johnny darter,58,,
531,spirit mound,7/19/2019,green sunfish,67,,
540,little bridge,7/19/2019,johnny darter,58,,
529,little bridge,7/19/2019,bigmouth buffalo,64,,
534,spirit mound,7/26/2019,bigmouth buffalo,51,,
536,spirit mound,7/26/2019,common carp,59,,
537,spirit mound,7/26/2019,johnny darter,60,,
538,spirit mound,7/26/2019,johnny darter,56,,
539,gunderson,7/26/2019,smallmouth buffalo,64,,
526,little bridge,7/19/2019,creek chub,66,,
436,little bridge,7/10/2019,creek chub,135,,
542,spirit mound,7/19/2019,bigmouth buffalo,47,,
543,gunderson,7/26/2019,bluegill,60,,
533,little bridge,7/19/2019,smallmouth buffalo,66,,
502,little bridge,7/19/2019,common carp,75,,
546,spirit mound,7/26/2019,fathead minnow,50,,
547,spirit mound,7/26/2019,johnny darter,53,,
548,spirit mound,7/17/2019,creek chub,78,,
576,little bridge,7/19/2019,creek chub,84,,
550,spirit mound,7/26/2019,johnny darter,52,,
551,spirit mound,7/26/2019,creek chub,115,,
552,spirit mound,7/26/2019,creek chub,117,,
553,spirit mound,7/26/2019,johnny darter,60,,
554,spirit mound,7/26/2019,creek chub,81,,
556,spirit mound,7/26/2019,smallmouth buffalo,55,,
461,little bridge,7/25/2019,black bullhead catfish,121,,
558,spirit mound,7/26/2019,creek chub,86,,
559,spirit mound,7/26/2019,creek chub,160,,
560,spirit mound,7/26/2019,johnny darter,57,,
561,spirit mound,7/26/2019,bigmouth buffalo,62,,
562,spirit mound,7/26/2019,bigmouth buffalo,57,,
563,gunderson,7/26/2019,smallmouth buffalo,42,,
564,little bridge,7/19/2019,creek chub,85,,
460,gunderson,7/10/2019,pumpkinseed sunfish,153,,
588,little bridge,7/19/2019,green sunfish,90,,
567,burbank,7/25/2019,black bullhead catfish,64,,
496,little bridge,7/25/2019,creek chub,139,,
569,spirit mound,7/26/2019,green sunfish,99,,
570,spirit mound,7/26/2019,creek chub,112,,
571,spirit mound,7/26/2019,green sunfish,67,,
572,spirit mound,7/19/2019,creek chub,96,,
573,spirit mound,7/19/2019,creek chub,77,,
574,gunderson,7/26/2019,smallmouth bass,131,,
575,gunderson,7/26/2019,bluegill,77,,
522,little bridge,7/19/2019,creek chub,93,,
577,spirit mound,7/26/2019,creek chub,142,,
578,spirit mound,7/26/2019,creek chub,126,,
579,spirit mound,7/19/2019,fathead minnow,45,,
580,spirit mound,7/26/2019,creek chub,48,,
581,gunderson,7/26/2019,bluegill,150,,
582,spirit mound,7/26/2019,common carp,85,,
583,spirit mound,7/26/2019,creek chub,162,,
584,spirit mound,7/26/2019,fathead minnow,54,,
585,gunderson,7/26/2019,bluegill,118,,
586,spirit mound,7/26/2019,creek chub,95,,
587,gunderson,7/26/2019,bluegill,147,,
549,little bridge,7/19/2019,common shiner,94,,
589,gunderson,7/26/2019,bluegill,71,,
590,spirit mound,7/26/2019,green sunfish,83,,
591,spirit mound,7/19/2019,creek chub,87,,
592,gunderson,7/26/2019,bluegill,79,,
600,little bridge,7/19/2019,common shiner,95,,
594,spirit mound,7/19/2019,green sunfish,69,,
595,spirit mound,7/19/2019,creek chub,88,,
596,little bridge,7/19/2019,green sunfish,102,,
597,little bridge,7/19/2019,black bullhead catfish,115,,
598,spirit mound,7/19/2019,creek chub,107,,
599,spirit mound,7/19/2019,common shiner,76,,
604,little bridge,7/19/2019,black bullhead catfish,130,,
601,spirit mound,7/19/2019,creek chub,95,,
602,spirit mound,7/19/2019,creek chub,81,,
